,date,Last,high,low,open,volume
204,2018-09-12 00:00:00+05:30,436.6,447.8,429.1,447.8,1384238
205,2018-09-14 00:00:00+05:30,425.55,438.45,422.1,437.05,1870621
206,2018-09-17 00:00:00+05:30,412.95,425.3,409.25,425,2753776
207,2018-09-18 00:00:00+05:30,410.65,418.1,409,414.3,1284003
208,2018-09-19 00:00:00+05:30,400.1,415,398.85,412,1252296
209,2018-09-21 00:00:00+05:30,388.25,400,372.5,400,2926366
210,2018-09-24 00:00:00+05:30,369.1,390.85,368,390,3357152
211,2018-09-25 00:00:00+05:30,390,396.8,363,368.85,2579384
212,2018-09-26 00:00:00+05:30,403.6,406.05,391,395,2432342
213,2018-09-27 00:00:00+05:30,404.05,413,398,405.75,1375955
214,2018-09-28 00:00:00+05:30,391.6,414,390.1,413.95,937746
215,2018-10-01 00:00:00+05:30,388.35,394.2,379,393.6,1561320
216,2018-10-03 00:00:00+05:30,379.65,392,378.1,386.4,994487
217,2018-10-04 00:00:00+05:30,372.3,380,365.45,375.8,1262589
218,2018-10-05 00:00:00+05:30,366.9,377,365.1,370,652992
219,2018-10-08 00:00:00+05:30,369.15,372.8,363,367.5,937703
220,2018-10-09 00:00:00+05:30,361.35,374.65,357,371.5,1037612
221,2018-10-10 00:00:00+05:30,369.75,373.5,361.05,363.1,1199754
222,2018-10-11 00:00:00+05:30,365.75,374,355,358,1236817
223,2018-10-12 00:00:00+05:30,373.25,379.7,368.5,369,1014252
224,2018-10-15 00:00:00+05:30,368.85,377.75,366.9,377,799151
225,2018-10-16 00:00:00+05:30,376.25,384.95,369,371.25,1559187
226,2018-10-17 00:00:00+05:30,371.4,382.35,369,380.75,837452
227,2018-10-19 00:00:00+05:30,369.7,375,366.25,369,711888
228,2018-10-22 00:00:00+05:30,365.7,374,364.6,374,503122
229,2018-10-23 00:00:00+05:30,359.95,369.8,359,365,838685
230,2018-10-24 00:00:00+05:30,364.75,369,360.5,369,2217572
231,2018-10-25 00:00:00+05:30,359.85,363.75,358,362.8,527295
232,2018-10-26 00:00:00+05:30,359.8,363.5,355.05,359.95,1787348
233,2018-10-29 00:00:00+05:30,366.2,378.7,359.1,362.95,1755867
234,2018-10-30 00:00:00+05:30,369.8,371.95,366.4,367,451965
235,2018-10-31 00:00:00+05:30,372.3,374.8,365.1,370.65,386859
236,2018-11-01 00:00:00+05:30,372.5,384.4,371.05,377.5,1073936
